Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2019-01-01,66197.046875,66690.3416290921,65898.9162418142,66690.3416290921,4193
2019-01-02,66032.84375,66493.14277862401,65552.4314127719,65898.56922173616,7531
2019-01-03,66213.9609375,66790.44972275538,65857.6657226979,66146.328174984,4603
2019-01-04,66000.7890625,66740.78544988808,65602.3241095531,66393.7573064261,4278
2019-01-07,66372.7890625,66736.81827643765,66063.21597435375,66493.14375848424,6823
2019-01-08,65839.0078125,66370.26080643608,65627.04389881503,66096.75698443153,2284
2019-01-09,65472.8203125,66393.07018016426,65225.18192239192,65899.57402425563,4369
2019-01-10,66097.453125,66488.13747574358,65312.91026799989,65649.83526293412,4018
2019-01-11,66331.859375,66394.04185449805,65700.37276049584,66293.85466983865,2580
2019-01-14,66050.2265625,66391.02247197072,65359.38324169993,65997.65945152077,5052
2019-01-15,65596.921875,66384.08924196468,65479.39295697635,66047.21068726598,3863
2019-01-16,65394.37109375,65884.39877887351,65303.99282030251,65621.0987034967,3514
2019-01-17,65207.67578125,65691.4635927448,65006.71300303297,65691.4635927448,3530
2019-01-18,65145.23828125,65500.40306221418,65056.25353993858,65408.04287743559,1613
2019-01-21,65528.05078125,65699.33905770181,64908.6026970132,65145.23987025733,8009
2019-01-22,64669.37890625,65568.42353122377,64511.22081652496,65303.985434853996,4697
2019-01-23,65474.5078125,65690.44337288925,64709.44313629227,64786.73772380576,3086
2019-01-24,64315.7734375,65589.79454795411,63916.665884246046,65403.099974577344,4134
2019-01-25,63342.85546875,64940.6251082267,63123.90448945026,64709.434272544764,3105
2019-01-28,61994.1640625,63297.321672143604,61885.209212138834,63297.321672143604,4488
2019-01-29,61308.609375,62261.76189711917,60943.79049296242,62261.76189711917,8712
2019-01-30,60774.74609375,61819.81002432688,60596.97010431503,61819.81002432688,6589
2019-01-31,60734.89453125,61208.97016384972,59992.61822844833,60943.788812453255,7598
2019-02-01,60721.51953125,62132.8382396501,60460.30586194146,60933.08862936247,7551
2019-02-04,59364.75,61383.77232613008,59259.16287457346,61383.77232613008,7858
2019-02-05,59461.625,59853.745535557646,58961.885088835756,59753.65897431441,6603
2019-02-06,59393.9375,59754.64547600774,59011.4284924753,59754.64547600774,5305
